241,The Sound Of Music (50th Anniversary Edition) (Widescreen),Walmart,"Renecito,",Sound of Music Widescreen,"November 22, 2015",Can't go wrong with dvd. Free site to store shipping and tracking plus text alert. Good stuff.,17,94,5,2020-02-04 14:13:54.979769,https://www.walmart.com/reviews/product/42423359
241,The Sound Of Music (50th Anniversary Edition) (Widescreen),Walmart,"EastBayMAN,",Classic favorite to add to anyone's DVD collection,"April 27, 2016",A good value to pass up; added to my slow but growing DVD collection.,14,69,5,2020-02-04 14:13:55.028125,https://www.walmart.com/reviews/product/42423359
241,The Sound Of Music (50th Anniversary Edition) (Widescreen),Walmart,"Jeanette,",Great,"August 15, 2017",I love it.,3,10,5,2020-02-04 14:13:55.071103,https://www.walmart.com/reviews/product/42423359
241,The Sound Of Music (50th Anniversary Edition) (Widescreen),Walmart,"white74,",Love this movie,"September 1, 2015",Love this movie,3,15,5,2020-02-04 14:13:55.114062,https://www.walmart.com/reviews/product/42423359
241,The Sound Of Music (50th Anniversary Edition) (Widescreen),Walmart,"Mimino,",The best classic movie,"July 15, 2015",The best classic movie,4,22,5,2020-02-04 14:13:55.157732,https://www.walmart.com/reviews/product/42423359
241,The Sound Of Music (50th Anniversary Edition) (Widescreen),Walmart,"Arth5,",it's great,"January 4, 2016",great,1,5,5,2020-02-04 14:13:55.202706,https://www.walmart.com/reviews/product/42423359
241,The Sound Of Music (50th Anniversary Edition) (Widescreen),Walmart,"PARTYANIMAL38,",EXCELLENT DVD,"May 21, 2015",SOUND OF MUSIC WAS AN EXCELLENT MOVIE.,7,38,5,2020-02-04 14:13:55.247410,https://www.walmart.com/reviews/product/42423359
241,The Sound Of Music (50th Anniversary Edition) (Widescreen),Walmart,"Pete,",Sound of Music.,"June 4, 2015",The movie is a Great One.,6,25,5,2020-02-04 14:13:55.294378,https://www.walmart.com/reviews/product/42423359
241,The Sound Of Music (50th Anniversary Edition) (Widescreen),Walmart,"Aanaro,",classic,"June 5, 2015",I love this movie and am happy to share it with my children.,13,60,4,2020-02-04 14:13:55.337618,https://www.walmart.com/reviews/product/42423359
241,The Sound Of Music (50th Anniversary Edition) (Widescreen),Walmart,"jek84,",,"November 10, 2019",None,1,4,5,2020-02-04 14:13:55.380803,https://www.walmart.com/reviews/product/42423359
241,The Sound Of Music (50th Anniversary Edition) (Widescreen),Walmart,"Char,",,"December 12, 2018",None,1,4,5,2020-02-04 14:13:55.408706,https://www.walmart.com/reviews/product/42423359
241,The Sound Of Music (50th Anniversary Edition) (Widescreen),Walmart,"BJHoneybear,",CLASSIC!,"May 20, 2015",The Sound of Music is definitely a classic for young and old. This and was good movie material and very entertaining for many years now. Julie Andrews version is the better actress for the part.,35,194,5,2020-02-04 14:13:58.710422,https://www.walmart.com/reviews/product/42423359
241,The Sound Of Music (50th Anniversary Edition) (Widescreen),Walmart,"nottomuch,",The Sound Of Music,"September 16, 2016",I would definitely recommend this movie to everyone. The scenery is gorgeous.and the story the movie tells is beautiful. I ordered this movie from Walmart online and got free pickup at the store of my choice. I would highly recommend ordering from Walmart online. I do it all the time and have never been disappointed or never had a problem with employees or the merchandise.,65,375,5,2020-02-04 14:13:58.794110,https://www.walmart.com/reviews/product/42423359
241,The Sound Of Music (50th Anniversary Edition) (Widescreen),Walmart,"Natedog,",One of my favorite movies from Julie Andrews.,"January 29, 2020","I am very happy to see this movie on dvd. Because, it has the letterbox aspect ratio as I've always enjoyed watching it on widescreen tv for enhanced 16:9 display in nowadays. Yes, I remember watching this movie on tv, when I was 10 years old. Also, the sound of music is now 55 years old this year.",58,299,5,2020-02-04 14:13:58.838437,https://www.walmart.com/reviews/product/42423359
241,The Sound Of Music (50th Anniversary Edition) (Widescreen),Walmart,"Grammy,",Very pleased,"January 4, 2017","This has long been a family favorite at Christmas time. It arrived in plenty of time, and now we don't have to wait for it to come on TV any more. Good quality video.",34,166,5,2020-02-04 14:13:58.881939,https://www.walmart.com/reviews/product/42423359
241,The Sound Of Music (50th Anniversary Edition) (Widescreen),Walmart,"Skye1,",Awesome,"March 6, 2017",One of my favorite movies!,5,26,5,2020-02-04 14:13:58.923901,https://www.walmart.com/reviews/product/42423359
